1	39
2	124
3	166
4	1878
5	988
6	210
7	162
8	90
9	2889
10	102
11	175
12	115
13	2805
14	104
15	210
16	1929
17	115
18	148
19	2046
20	1093
21	195
22	193
23	97
24	1949
25	2923
26	188
27	177
28	1689
29	1886
30	164
31	137
32	136
33	2616
34	1850
35	110
36	265
37	130
38	143
39	96
40	139
41	1629
42	2444
43	2267
44	130
45	154
46	147
47	2266
48	2229
49	144
50	4298
51	2691
52	68
53	76
54	584
55	3825
56	2888
57	117
58	227
59	3084
60	140
61	194
62	108
63	221
64	190
65	156
66	103
67	105
68	60
69	149
70	129
71	104
72	299
73	87
74	320
75	168
76	212
77	159
78	265
79	82
80	223
81	143
82	141
83	106
84	111
85	119
86	212
87	1110
88	184
89	144
90	101
91	397
92	83
93	114
94	183
95	102
96	6091
97	89
98	473
99	391
100	128
101	270
102	189
103	330
104	93
105	2457
106	96
107	114
108	357
109	148
110	137
111	139
112	115
113	149
114	104
115	135
116	577
117	131
118	221
119	149
120	154
121	110
122	271
123	269
124	250
125	140
126	83
127	116
128	223
129	131
130	143
131	113
132	242
133	137
134	185
135	96
136	96
137	142
138	154
139	102
140	270
141	149
142	310
143	80
144	126
145	187
146	155
147	141
148	228
149	107
150	108
151	243
152	90
153	116
154	1169
155	187
156	99
157	161
158	133
159	87
160	130
161	80
162	239
163	124
164	105
165	107
166	113
167	302
168	155
169	117
170	165
171	119
172	113
173	232
174	109
175	76
176	279
177	56
178	312
179	111
180	932
181	108
182	151
183	316
184	190
185	186
186	347
187	122
188	215
189	250
190	188
191	904
192	168
193	153
194	121
195	192
196	123
197	197
198	2749
199	159
200	131
201	271
202	120
203	361
204	100
205	137
206	172
207	114
208	80
209	2642
210	2802
211	97
212	82
213	2045
214	79
215	174
216	117
217	2612
218	5217
219	122
220	2197
221	87
222	128
223	103
224	2177
225	1695
226	115
227	166
228	109
229	1592
230	2312
231	103
232	74
233	158
234	225
235	1683
236	93
237	237
238	77
239	2376
240	1712
241	78
242	154
243	92
244	2293
245	415
246	80
247	90
248	115
249	1636
250	1945
251	3013
252	102
253	125
254	2948
255	4692
256	109
257	79
258	3847
259	1872
260	138
261	69
262	2772
263	3619
264	2097
265	115
266	109
267	2388
268	81
269	75
270	112
271	83
272	152
273	237
274	83
275	70
276	105
277	103
278	253
279	103
280	78
281	98
282	102
283	87
284	109
285	117
286	106
287	126
288	70
289	76
290	124
291	220
292	120
293	90
294	108
295	158
296	81
297	81
298	111
299	97
300	80
301	97
302	86
303	111
304	105
305	159
306	104
307	284
308	111
309	49
310	105
311	115
312	367
313	80
314	60
315	93
316	99
317	83
318	118
319	120
320	143
321	125
322	86
323	97
324	81
325	107
326	70
327	120
328	81
329	85
330	88
331	114
332	68
333	101
334	130
335	84
336	96
337	219
338	89
339	151
340	78
341	109
342	101
343	103
344	80
345	103
346	70
347	150
348	100
349	48
350	89
351	105
352	117
353	87
354	90
355	115
356	99
357	69
358	127
359	125
360	154
361	268
362	120
363	105
364	99
365	107
366	95
367	77
368	73
369	109
370	140
371	109
372	132
373	30
374	61
375	94
376	79
377	100
378	98
379	48
380	76
381	131
382	81
383	101
384	73
385	109
386	118
387	154
388	112
389	93
390	147
391	60
392	122
393	104
394	162
395	141
396	78
397	97
398	98
399	212
400	111
401	93
402	131
403	99
404	113
405	51
406	145
407	97
408	101
409	116
410	105
411	1199
412	2956
413	104
414	83
415	90
416	2017
417	116
418	102
419	1644
420	4148
421	84
422	100
423	3007
424	84
425	46
426	91
427	2168
428	2248
429	118
430	4558
431	2779
432	194
433	86
434	91
435	457
436	1564
437	116
438	88
439	2174
440	1675
441	124
442	104
443	1232
444	78
445	66
446	1498
447	2315
448	3731
449	101
450	2993
451	7140
452	123
453	95
454	94
455	3483
456	2270
457	115
458	106
459	2544
460	3308
461	2091
462	130
463	93
464	214
465	3373
466	115
467	88
468	184
469	88
470	178
471	94
472	90
473	80
474	127
475	540
476	159
477	180
478	70
479	80
480	41
481	109
482	98
483	81
484	106
485	97
486	99
487	90
488	98
489	86
490	2958
491	116
492	258
493	107
494	77
495	86
496	118
497	103
498	73
499	106
500	84
501	76
502	97
503	106
504	100
505	194
506	47
507	88
508	179
509	101
510	97
511	119
512	99
513	114
514	110
515	966
516	80
517	304
518	87
519	176
520	84
521	90
522	81
523	96
524	93
525	92
526	101
527	92
528	226
529	79
530	116
531	302
532	82
533	88
534	81
535	102
536	102
537	77
538	80
539	83
540	123
541	89
542	83
543	53
544	116
545	153
546	90
547	90
548	86
549	68
550	86
551	91
552	76
553	83
554	221
555	90
556	313
557	72
558	81
559	114
560	123
561	71
562	101
563	66
564	97
565	95
566	68
567	118
568	103
569	76
570	100
571	95
572	120
573	71
574	124
575	54
576	241
577	38
578	89
579	88
580	92
581	92
582	83
583	88
584	92
585	82
586	104
587	64
588	101
589	70
590	61
591	70
592	116
593	2160
594	1783
595	92
596	65
597	2366
598	134
599	77
600	2265
601	3422
602	543
603	79
604	3144
605	132
606	64
607	54
608	2431
609	1100
610	193
611	82
612	2446
613	2636
614	90
615	158
616	845
617	1400
618	95
619	74
620	109
621	2160
622	1396
